waktu,Naufal & Diego,Delka & Gilang
8:50,0,0
8:52,0,0
8:54,1,2
8:56,5,3
8:58,9,5
9:00,12,5
9:02,13,7
9:04,17,11
9:06,18,17
9:08,20,19
9:09,22,21
9:10,23,24
9:12,25,31
9:14,28,36
9:16,29,37
9:18,30,40
9:20,32,46
9:22,34,51
9:24,34,57
9:26,35,64
9:28,38,72
9:30,42,76
9:32,44,84
9:34,49,89
9:36,56,96
9:38,61,103
9:40,69,108
9:42,72,114
9:44,73,125
9:46,75,136
9:48,78,145
9:50,84,154
9:52,87,162
9:54,89,170
9:56,91,178
9:58,94,183
10:00,97,190
10:02,100,199
10:04,102,205
10:06,106,212
10:08,110,222
10:10,113,231
10:12,113,240
10:14,115,246
10:16,116,253
10:18,116,258
10:20,116,258
10:22,117,258
10:24,117,258
10:26,117,258
10:28,117,260
10:30,117,260
10:32,117,260
10:34,117,260
10:36,117,260
10:38,117,260
10:40,117,260
10:42,118,260
10:44,118,260
10:46,118,260
10:48,118,260
10:50,118,262
10:52,118,262
10:54,118,262
10:56,118,262
10:58,118,262
11:00,118,262
11:02,118,262
11:04,118,262
11:06,118,263
11:08,119,263
11:10,119,263
11:12,119,263
11:14,119,263
11:16,121,263
11:18,121,263
11:20,122,263
11:22,121,263
11:24,121,263
11:26,123,263
11:28,123,263
11:30,123,264
11:32,124,264
11:34,124,264
11:36,124,264
11:38,125,264
11:40,125,265
11:42,125,265
11:44,125,265
11:46,125,265
11:48,125,265
11:50,125,265
11:52,125,265
11:54,125,265
11:56,125,265
11:58,125,265
